Year,Type,Country,Area,Activity,Injury,Fatal
2016,Boat,Usa,Alabama,Fishing,No injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,California,Surfing,No injury,N
2016,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2016,Unprovoked,Bahamas,No Data,Diving,Face bruised when partly blind shark collided with him,N
2016,Unprovoked,Spain,Canary Islands,Wading,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
2016,Boat,Usa,California,Fishing,No injury,N
2016,Provoked,Usa,Massachusetts,Fishing,Injury,N
2016,Boat,Usa,California,Fishing,No injury,N
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Provoked,Australia,Queensland,Fishing,Injury,N
2016,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2016,Unprovoked,Columbia,Isla Provedencia,Diving,Severe bite to right hand,N
2016,Unprovoked,South Africa,Western Cape Province,Diving,Injuries to left leg & right hand,N
2016,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2016,Unprovoked,Usa,Florida,Wading,Injuries to right calf,N
2016,Unprovoked,Usa,Hawaii,Surfing,Single puncture wound to arm,N
2016,Provoked,Australia,Western Australia,Diving,No injury,N
2016,Unprovoked,Usa,Texas,Swimming,Injury to lower leg,N
2016,Unprovoked,Usa,North Carolina,Wading,Injury,N
2016,No Data,Usa,South Carolina,Surfing,No injury,No Data
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Unprovoked,Australia,Western Australia,Diving,Fatal,Y
2016,Unprovoked,Egypt,Suez,Swimming,Injury,N
2016,Unprovoked,Australia,New South Wales,Diving,No injury,No Data
2016,Unprovoked,New Caledonia,No Data,Surfing,Injury,N
2016,Unprovoked,Australia,Western Australia,Surfing,Fatal,Y
2016,Unprovoked,Usa,California,Swimming,Injuries to arm and shoulder,N
2016,Unprovoked,Usa,Florida,Swimming,Injury to posterior right leg,N
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Unprovoked,Usa,Florida,Swimming,Injury,N
2016,Provoked,Usa,Florida,Teasing A Shark,Arm grabbed PROVOKED INCIDENT,N
2016,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2016,Provoked,New Zealand,North Island,Fishing,Injury,N
2016,Unprovoked,Indonesia,Bali,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,South Africa,Western Cape Province,Surfing,No injury,N
2016,Unprovoked,Australia,New South Wales,Swimming,Injury,N
2016,Provoked,French Polynesia,Tuamotos,Diving,Injury,N
2016,Provoked,French Polynesia,Tuamotos,Diving,Injury,N
2016,Unprovoked,Usa,Florida,Diving,Multiple bites to right arm,N
2016,Unprovoked,New Caledonia,Grand Terre,Walking,Fatal,Y
2016,Unprovoked,Usa,Florida,Fishing,Injury,N
2016,No Data,Usa,Florida,Sup,No injury,No Data
2016,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2016,Unprovoked,Australia,New South Wales,Surfing,Severe injury to thigh,N
2016,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2016,No Data,Usa,California,Surfing,No injury,No Data
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Fiji,Vanua Levu,Diving,Fatal,Y
2016,Unprovoked,Australia,South Australia,Fishing,Injury,N
2016,Unprovoked,Brazil,Santa Catarina State,Swimming,Injury,N
2016,Unprovoked,New Caledonia,South Province,Surfing,Injury,N
2016,Unprovoked,New Caledonia,South Province,Diving,Injury,N
2016,Unprovoked,Dominican Republic,Altagracia Province,Wading,Avulsion injury to lower leg,N
2016,No Data,Cayman Islands,Grand Cayman,Feeding Stingrays?,Injury,No Data
2016,No Data,Australia,Tasmania,Surfing,No injury,No Data
2016,Unprovoked,Australia,Queensland,Walking,Foot nipped,N
2016,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2016,Unprovoked,Brazil,Balneário Camboriú,Swimming,Injury,N
2016,Boat,South Africa,Kwazulu-Natal,Fishing,No injury,N
2016,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2016,Unprovoked,Usa,Hawaii,Surfing,No injury,N
2016,Unprovoked,Usa,Texas,Diving,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
2016,Boat,United Arab Emirates,Fujairah Emirate,Fishing,No injury,N
2016,Unprovoked,Usa,Hawaii,Boating,No injury,N
2016,Unprovoked,Australia,Queensland,Surfing,Injury,N
2016,Unprovoked,Australia,Queensland,Wading,Injury,N
2016,Unprovoked,Australia,Queensland,Diving,Injury,N
2015,Boat,South Africa,Kwazulu-Natal,Fishing,No injury,N
2015,Unprovoked,Spain,Grand Canary Island,Swimming,Injury,N
2015,Unprovoked,Usa,Hawaii,Boating,No injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2015,Unprovoked,Brazil,Pernambuco,Diving,Right hand & part of forearm removed,N
2015,Unprovoked,Aruba,No Data,Sea Disaster,Fatal,Y
2015,Boat,Australia,New South Wales,Fishing,No injury,N
2015,Unprovoked,Bahamas,No Data,Fishing,"Bitten on thigh, abdomen & hand",N
2015,Unprovoked,South Africa,Eastern Cape Province,Swimming,Injury,N
2015,Unprovoked,Ecuador,Galapagos Islands,Swimming,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Swimming,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Injury to left thigh,N
2015,No Data,Usa,Florida,Surfing,Injury,No Data
2015,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2015,Unprovoked,Usa,Florida,Wading,Injury to right ankle/calf & hand,N
2015,Unprovoked,Mozambique,Inhambane Province,Fishing,Injury,N
2015,Unprovoked,Australia,Western Australia,Diving,Injury,N
2015,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2015,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Mozambique,Inhambane Province,Fishing,Fatal,Y
2015,No Data,Usa,Hawaii,Surfing,Injury,No Data
2015,Unprovoked,Usa,Hawaii,Swimming,Severe injuries to lower legs. Foot later surgically amputated.,N
2015,Boat,Usa,California,Fishing,No injury,N
2015,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2015,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2015,Unprovoked,Mozambique,Inhambane Province,Fishing,Injury,N
2015,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Usa,Texas,Wading,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Australia,Queensland,Swimming,Injury,N
2015,Boat,Usa,California,Fishing,No injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,Usa,Hawaii,Diving,Injury,N
2015,Unprovoked,Usa,Florida,Wading,Significant injuries to leg,N
2015,Unprovoked,Usa,Florida,Photographing Fish,Injury to right hand / wrist,N
2015,Boat,Usa,California,Fishing,No injury,N
2015,Unprovoked,Usa,Florida,Swimming,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury to right foot,N
2015,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2015,Unprovoked,Usa,California,Boating,No injury,N
2015,Provoked,Usa,California,Fishing,Injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Inuries to lower left leg & ankle,N
2015,Unprovoked,Thailand,Phuket,Wading,Injury,N
2015,Unprovoked,Fiji,No Data,Diving,Injury,N
2015,Unprovoked,Usa,California,Surfing,No injury,N
2015,Unprovoked,Usa,California,Surfing,No injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2015,Unprovoked,Usa,South Carolina,Surfing,"Injuries to left calf, arm and hand",N
2015,Unprovoked,Usa,Florida,Walking,Injury,N
2015,Boat,Usa,California,Fishing,No injury,N
2015,No Data,Spain,Alicante,Swimming,Injury,No Data
2015,Provoked,Usa,California,Diving,Injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2015,Unprovoked,Costa Rica,Guanacaste,Surfing,Injury,N
2015,,Australia,Victoria,Surfing,Injury to hand,No Data
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,No Data,Usa,South Carolina,Swimming,Injury,No Data
2015,Unprovoked,Australia,Tasmania,Diving,Fatal,Y
2015,Provoked,Usa,California,Fishing,No injury,N
2015,Unprovoked,Australia,Victoria,Surfing,Injury,N
2015,Unprovoked,Reunion,No Data,Surfing,Injury,N
2015,Unprovoked,South Africa,Eastern Cape Province,Surfing,No injury,N
2015,Unprovoked,Usa,California,Surfing,No injury,N
2015,No Data,Usa,California,Treading Water,Injury,No Data
2015,No Data,French Polynesia,Bora Bora,Swimming,Injury,No Data
2015,Unprovoked,Bahamas,Grand Bahama Island,Diving,Injury,N
